epoch,train_mae,val_mae,time
1,0.7625662198593978,0.8017586685679285,399.3s
2,0.6481973165308434,0.6731082923521245,3.5s
3,0.594907618917368,0.6828276551314417,3.5s
4,0.5724476600037957,0.5842801450472798,3.4s
5,0.5361834858505671,0.5421050051142117,3.5s
6,0.5096780588685514,0.5606720412443132,3.5s
7,0.4932690629976037,0.6140560360124269,3.5s
8,0.48452192993899335,0.5380755646579761,3.5s
9,0.45683667107551135,0.5232408222208168,3.5s
10,0.4504555147098703,0.46241731102091405,3.4s
11,0.444545821190606,0.4997941136057607,3.6s
12,0.4361475893394795,0.4828680295024426,3.6s
13,0.4280457793683713,0.46658287063467924,3.6s
14,0.4196715028477054,0.47166238303111896,3.5s
15,0.41615982815120656,0.486831419207723,3.5s
16,0.4100388778652783,0.4708077580190552,3.4s
17,0.40887752541907996,0.45976011175189524,3.6s
18,0.38664690891317144,0.44548258315488165,3.5s
19,0.37395049473249514,0.4458211493371102,3.5s
20,0.3857138194228803,0.46616095065465435,3.5s
21,0.37445033553467166,0.4522310229122336,3.5s
22,0.37921542121225466,0.43301059171027945,3.5s
23,0.36143140608575663,0.43211685388826476,3.6s
24,0.3560446493295495,0.4558089871091891,3.6s
25,0.35032101585845066,0.4265457840740378,3.6s
26,0.3479474869032605,0.4482306783574487,3.5s
27,0.3366188595523515,0.44235903200159216,3.6s
28,0.3354941280986221,0.4356989780960954,3.6s
29,0.31833312232089833,0.41967603198162795,3.5s
30,0.3324226607473375,0.4504534836347938,3.5s
31,0.32835132419503704,0.4207986660415146,3.5s
32,0.31666870553149445,0.45029051113249685,3.6s
33,0.31910705310936177,0.4250299700625657,3.5s
34,0.3175752724589595,0.42750678425512945,3.5s
35,0.30187807163550046,0.452230315855917,3.5s
36,0.29973601761306873,0.4531673683732899,3.5s
37,0.3068283571451411,0.46598065822257606,3.5s
38,0.3097306278388028,0.48183482234853175,3.5s
39,0.2974477678937958,0.41506896944820576,3.7s
40,0.2894988860646813,0.44241694605289983,3.5s
41,0.30269141426069496,0.42155928399962217,3.7s
42,0.2887357288119819,0.40328365410039874,3.7s
43,0.2836078698415004,0.3875929557732519,3.6s
44,0.2788070727053736,0.4429039999918284,3.5s
45,0.2922600278568969,0.3989896879280884,3.7s
46,0.2695469213505551,0.40427319576897597,3.5s
47,0.2834326455942604,0.4458035867528867,3.5s
48,0.27308719112974056,0.40083103633774114,3.6s
49,0.26818608763766355,0.38717083767585947,3.5s
50,0.2579508881157133,0.40362270229358965,3.6s
51,0.2599624584252055,0.4127962967163415,3.5s
52,0.259807673038458,0.4044344918679465,3.6s
53,0.25191442815446624,0.42600426876605463,3.5s
54,0.24483478395067554,0.3908168061433105,3.5s
55,0.2394220418368322,0.402402015385894,3.5s
56,0.24150115260988994,0.4185724916796999,3.6s
57,0.23479038837852134,0.3831943234513859,3.6s
58,0.24063900667883978,0.3969573093852416,3.5s
59,0.24904966502512527,0.3978587659179862,3.6s
60,0.23060774130852066,0.39802081339855483,3.7s
61,0.22317198437768251,0.38899330799349674,3.6s
62,0.2386319627926309,0.40059111605440906,3.5s
63,0.2281950868887252,0.4141336192939487,3.5s
64,0.23987766698233343,0.4252765090332419,3.5s
65,0.2266594583677393,0.3903249349690936,3.6s
66,0.23361595230086818,0.4234074209244723,3.6s
67,0.2353736688960424,0.3985319128798954,3.5s
68,0.22677966052887857,0.4005072955250135,3.5s
69,0.2199961963475068,0.37011774705751294,3.5s
70,0.2223495517720615,0.3727577257579958,3.5s
71,0.20935737561021636,0.38332206044100264,3.6s
72,0.21272648746233255,0.3883851236498295,3.6s
73,0.20704183502832765,0.39649586260016195,3.5s
74,0.21388596879432203,0.4065166590177468,3.5s
75,0.21638768452573723,0.39212430555203237,3.5s
76,0.20581012865990936,0.3968496285416753,3.5s
77,0.20437055370422477,0.39156871619563416,3.6s
78,0.21644789080253388,0.38156565569984124,3.6s
79,0.20359012396874357,0.3902507930842753,3.7s
80,0.20322290700067883,0.39588090284221666,3.5s
81,0.20330283149317258,0.4047428442742014,3.6s
82,0.19750991300780127,0.37360006691840697,3.6s
83,0.19426495528012522,0.3976959875997553,3.5s
84,0.19644221799146275,0.3818698082175957,3.6s
85,0.18759845860062474,0.40750204043339955,3.6s
86,0.19200769165824158,0.3891193613485636,3.6s
87,0.18354996579297447,0.3866264916313481,3.6s
88,0.18510629040560625,0.3744441060547901,3.5s
89,0.17731240195593737,0.3822263292249689,3.6s
90,0.1775096488269549,0.39259482201585916,3.6s
91,0.17834356812665283,0.40392365219629356,3.5s
92,0.1778964278640827,0.38419521853403393,3.5s
93,0.19697644407151163,0.39559006551800646,3.4s
94,0.19484634729560002,0.39007275025856675,3.3s
95,0.19751851466625378,0.39846497429203864,3.3s
96,0.18471997297191087,0.3875603893686672,3.4s
97,0.1748013131447078,0.3926411109527356,3.3s
98,0.18079305661456282,0.3810988703052405,3.4s
99,0.17788527159182335,0.375968951501217,3.4s
100,0.17487761715765746,0.3735725628543021,3.3s
101,0.14478525153549981,0.35929168048243837,3.3s
102,0.1253690557517045,0.35500407131190226,3.4s
103,0.11855443050428723,0.3552040165753534,3.3s
104,0.11511658544758689,0.3544541264245958,3.4s
105,0.11089259784951175,0.3564762308210286,3.3s
106,0.11178881635134999,0.3551470828540434,3.3s
