epoch,train_mae,val_mae,timestamp
1,0.785714405595183,0.7045620679855347,2026-04-26 07:28:00
2,0.6934904133550956,0.6698634028434753,2026-04-26 07:28:04
3,0.6586682609486272,0.6504604816436768,2026-04-26 07:28:07
4,0.6237180470936557,0.6397479772567749,2026-04-26 07:28:11
5,0.6038320499901961,0.5974503755569458,2026-04-26 07:28:15
6,0.5916954708029829,0.6229540109634399,2026-04-26 07:28:19
7,0.5768092143756316,0.5457522869110107,2026-04-26 07:28:22
8,0.5679941549840507,0.6026433110237122,2026-04-26 07:28:26
9,0.5466256039701317,0.5671266317367554,2026-04-26 07:28:29
10,0.537427637613639,0.574664294719696,2026-04-26 07:28:33
11,0.5368965592234382,0.5391771793365479,2026-04-26 07:28:36
12,0.5274062953245026,0.5064374208450317,2026-04-26 07:28:40
13,0.5104556917358164,0.5447007417678833,2026-04-26 07:28:43
14,0.5021161194715952,0.5222665071487427,2026-04-26 07:28:47
15,0.49797006796043053,0.5270079970359802,2026-04-26 07:28:50
16,0.49449516923150044,0.6446694731712341,2026-04-26 07:28:54
17,0.4875881625346475,0.5158630609512329,2026-04-26 07:28:57
18,0.4764198016582211,0.5090619325637817,2026-04-26 07:29:01
19,0.4783174005704817,0.48643365502357483,2026-04-26 07:29:04
20,0.4743959550971825,0.4910222589969635,2026-04-26 07:29:08
21,0.4630476757411633,0.5397441983222961,2026-04-26 07:29:12
22,0.4677694088730025,0.5212063193321228,2026-04-26 07:29:16
23,0.4537245062003425,0.4845069348812103,2026-04-26 07:29:19
24,0.45865012180403103,0.512974202632904,2026-04-26 07:29:23
25,0.4495708854434879,0.5003051161766052,2026-04-26 07:29:26
26,0.44814145360203406,0.45984482765197754,2026-04-26 07:29:30
27,0.43745095254260513,0.4588034451007843,2026-04-26 07:29:33
28,0.44026572416193316,0.47074395418167114,2026-04-26 07:29:37
29,0.43016763171688904,0.47491276264190674,2026-04-26 07:29:41
30,0.4326752327040552,0.4733191728591919,2026-04-26 07:29:44
31,0.4228030858443771,0.4665707051753998,2026-04-26 07:29:48
32,0.427919301668037,0.4931502044200897,2026-04-26 07:29:51
33,0.42050884736996147,0.480712890625,2026-04-26 07:29:55
34,0.4187391746506726,0.5039041638374329,2026-04-26 07:29:58
35,0.4062878036375068,0.46973973512649536,2026-04-26 07:30:02
36,0.4165109478970817,0.4496154189109802,2026-04-26 07:30:05
37,0.4102478701467294,0.4410097599029541,2026-04-26 07:30:09
38,0.39318385755021107,0.4915653467178345,2026-04-26 07:30:13
39,0.4000490678088362,0.45748192071914673,2026-04-26 07:30:17
40,0.3907453602502529,0.4632929265499115,2026-04-26 07:30:20
41,0.38903521972200816,0.4414920210838318,2026-04-26 07:30:24
42,0.389596825727738,0.47445330023765564,2026-04-26 07:30:27
43,0.3926911571214503,0.4401490390300751,2026-04-26 07:30:31
44,0.3874607946239024,0.4404478371143341,2026-04-26 07:30:34
45,0.3796050420440516,0.47303664684295654,2026-04-26 07:30:38
46,0.3989140607214446,0.4938228130340576,2026-04-26 07:30:41
47,0.3726362101232948,0.4638901352882385,2026-04-26 07:30:45
48,0.37521526054957477,0.4276406764984131,2026-04-26 07:30:48
49,0.368351255716662,0.47342485189437866,2026-04-26 07:30:52
50,0.3677271776942472,0.43279126286506653,2026-04-26 07:30:55
51,0.36679792572724584,0.4361831545829773,2026-04-26 07:30:59
52,0.3601871465566404,0.43824854493141174,2026-04-26 07:31:02
53,0.36619656280367135,0.42931562662124634,2026-04-26 07:31:06
54,0.36256130923633495,0.42965248227119446,2026-04-26 07:31:09
55,0.3696645226404203,0.4311438202857971,2026-04-26 07:31:12
56,0.3567221045131282,0.4266837537288666,2026-04-26 07:31:16
57,0.349675206523724,0.4515068531036377,2026-04-26 07:31:20
58,0.35945808973646154,0.4754151403903961,2026-04-26 07:31:24
59,0.34680627307975287,0.45634007453918457,2026-04-26 07:31:27
60,0.3423961552227024,0.42538702487945557,2026-04-26 07:31:31
61,0.3529762494331261,0.42777904868125916,2026-04-26 07:31:34
62,0.34781941042132647,0.4236622750759125,2026-04-26 07:31:38
63,0.3396827649970421,0.43824276328086853,2026-04-26 07:31:42
64,0.3447663401124322,0.4419993460178375,2026-04-26 07:31:45
65,0.34262876804788617,0.4287765622138977,2026-04-26 07:31:49
66,0.3374385904561376,0.42715394496917725,2026-04-26 07:31:52
67,0.3403184348303988,0.4328877627849579,2026-04-26 07:31:56
68,0.33765914800382946,0.4316621720790863,2026-04-26 07:31:59
69,0.33093336554097247,0.44859763979911804,2026-04-26 07:32:02
70,0.3327095543267973,0.4375389814376831,2026-04-26 07:32:06
71,0.33591440608741485,0.4231588542461395,2026-04-26 07:32:09
