id,model_1,model_2,model_3,final_prediction,uncertainty_std
mp-3216667,1.5011,0.3713,0.7757,0.8826999999999999,0.5724497881910693
mp-2089,0.551,0.5636,1.4532,0.8559333333333333,0.5172864712452215
mp-685041,0.4931,0.7383,0.9598,0.7303999999999999,0.23345027307758714
mp-1592,0.0049,0.7599,-0.0422,0.24086666666666667,0.4501125451854606
mp-1078945,-0.0739,0.4832,0.8112,0.4068333333333333,0.44746441571742146
mp-638048,0.144,0.3157,0.2174,0.2257,0.0861503917576699
mp-1080294,1.925,2.4605,1.7354,2.0403000000000002,0.37604929198178266
mp-608468,1.9624,1.9596,2.0196,1.980533333333333,0.0338616794228127
mp-651772,-1.1614,0.4186,1.1755,0.14423333333333335,1.1923645429705352
mp-1023935,0.1427,-0.2127,0.0483,-0.007233333333333335,0.1840930561790241
mp-505682,1.12,0.7331,0.9079,0.9203333333333333,0.19374943440777667
mp-1361,1.0479,1.8979,-0.1671,0.9262333333333334,1.0378623865105303
mp-556815,1.9832,1.9808,2.091,2.018333333333333,0.06294261937140326
mp-1399418,0.1395,0.7423,-0.0651,0.27223333333333327,0.41974670139660814
mp-849084,0.1324,0.0472,0.1655,0.11503333333333332,0.061032149997631034
mp-573,-2.1054,-0.0671,0.0919,-0.6935333333333333,1.225294194605252
mp-685066,-6.2068,-0.165,0.5684,-1.9344666666666666,3.718076515260725
mp-567,1.2988,1.3954,1.6082,1.4341333333333335,0.15829495675268165
mp-203,0.2755,0.8166,-0.3201,0.25733333333333336,0.5685677121797661
mp-542333,0.366,0.0927,0.3654,0.2747,0.15761690899138964
mp-1341,0.3,-0.4582,-0.3928,-0.18366666666666664,0.42014208707689993
mp-1100973,0.258,-0.009,-0.0512,0.06593333333333333,0.1676675679233564
mp-1006886,-0.6785,0.7647,1.6662,0.5841333333333333,1.1827331750370973
mp-1080266,1.4118,1.7421,1.5008,1.5515666666666668,0.1709019114385013
mp-22297,0.5966,-2.3849,0.0948,-0.5645,1.5963530092056706
mp-556280,1.9798,1.9796,2.0921,2.0171666666666668,0.06489424730539158
mp-27793,0.128,-2.7647,-0.8603,-1.1656666666666666,1.4703281685845964
mp-10761,-6.0756,-0.0216,-0.3455,-2.1475666666666666,3.4056294870894765
mp-673800,-0.4042,0.4668,1.1082,0.3902666666666667,0.7590991063974013
mp-1229100,-0.2124,0.5917,0.376,0.25176666666666664,0.4161966402235046
mp-1018707,-0.1873,0.8809,0.9746,0.5560666666666667,0.6454768960492183
mp-561375,1.3534,1.7084,1.6772,1.5796666666666666,0.19657266680119426
mp-684726,1.1797,0.764,0.9527,0.9654666666666666,0.2081438524994993
mp-666176,0.8501,0.1595,0.746,0.5852,0.3723232063678008
mp-401,0.2075,0.7102,0.6916,0.5364333333333334,0.28501639134150397
mp-1224485,1.1717,0.7172,1.1256,1.0048333333333332,0.2501619542083355
mp-1018722,1.1775,0.4034,0.9985,0.8598,0.4052603730936446
mp-807,-0.0233,0.0604,-0.2718,-0.07823333333333334,0.17277865415997815
mp-555583,1.9834,1.9809,2.0921,2.0188,0.0634919679959598
mp-1188133,0.1292,0.6021,-0.5441,0.062399999999999976,0.5760124043803223
mp-936075,0.6317,0.0461,0.8506,0.5094666666666666,0.41594567353602
mp-7564,0.3697,0.3848,0.7266,0.4937,0.20183857411307685
mp-685031,0.9143,0.859,0.754,0.8424333333333333,0.08142397271893169
mp-1217166,0.3266,-0.2102,-0.1601,-0.014566666666666664,0.29651901007074294
mp-600216,-1.6247,0.6872,0.761,-0.05883333333333333,1.3565822582259186
mp-1217665,0.3947,0.9766,1.4157,0.9289999999999999,0.5121616639304429
mp-2076,0.7985,0.6459,1.6433,1.0292333333333332,0.5372430486598532
mp-1217192,0.21,-0.0973,-0.3107,-0.06599999999999999,0.26175731126369706
mp-669509,1.6063,1.5601,1.2174,1.461266666666667,0.2124542852788179
mp-1245121,2.1349,2.1506,1.7268,2.0040999999999998,0.24027711085328127
mp-16328,2.5636,1.325,1.502,1.7968666666666666,0.669882268263113
mp-568865,0.1452,0.7471,1.8756,0.9226333333333333,0.8784531879009452
mp-571270,-0.0897,0.428,-0.479,-0.0469,0.4550122306048487
mp-16479,-1.9101,1.1647,1.2631,0.17256666666666667,1.8043131583329244
mp-1077033,0.8207,0.5714,0.2142,0.5354333333333333,0.304845474516735
mp-1078508,0.1787,0.993,1.2479,0.8065333333333333,0.5584572708214419
mp-1217443,-2.1485,-0.3322,-1.4855,-1.3220666666666665,0.9191133027724782
mp-561196,1.9809,1.98,2.0916,2.0175,0.06417406018010709
mp-406,0.3566,0.2878,0.1428,0.2624,0.10913972695586147
mp-1018150,0.1876,0.4037,-0.0147,0.19219999999999995,0.20923792677237077
mp-975653,0.0802,0.4858,0.9675,0.5111666666666667,0.44419356516425734
mp-862869,-0.4919,1.5496,1.3418,0.7998333333333334,1.1234885238992578
mp-1779,-0.8238,0.4658,-0.3103,-0.22276666666666667,0.6492407899487935
mp-1186638,-0.0551,0.9407,0.2764,0.3873333333333333,0.5070838819498539
mp-11447,-0.6478,0.971,-1.1802,-0.2856666666666667,1.1203886706555601
mp-1213754,0.6355,0.1519,0.4512,0.41286666666666666,0.24406827596665104
mp-985831,1.3903,0.7655,1.6828,1.2795333333333334,0.4685741812491736
mp-2648,0.9987,0.4912,0.8679,0.7859333333333334,0.26349186578210215
mp-555293,0.9994,0.4912,0.8655,0.7853666666666667,0.2634061945614289
mp-849071,0.2838,0.0593,0.2419,0.19499999999999998,0.11937240049525685
mp-32933,0.7573,0.5384,1.3076,0.8677666666666667,0.3963197236239112
mp-1848,-0.9546,0.6994,1.3025,0.34909999999999997,1.1686135674379277
mp-7834,0.5872,0.6871,-0.066,0.4027666666666667,0.40902523557029263
mp-542495,1.1375,0.4412,0.2589,0.6125333333333334,0.46368181259710123
mp-1183005,0.8693,1.0227,1.4174,1.1031333333333333,0.2827641125272678
mp-1080629,1.1534,1.472,1.5597,1.3950333333333333,0.21380557367228142
mp-740,0.1307,0.415,0.0672,0.2043,0.1852132014733291
mp-849053,0.3596,0.1777,0.4977,0.345,0.16049881619501122
mp-581476,1.9842,1.9732,2.0343,1.9972333333333332,0.03256844075686357
mp-581258,1.9851,1.9738,2.0351,1.998,0.03262253822129718
mp-555381,1.981,1.9801,2.0912,2.0174333333333334,0.06388539217484185
mp-541180,0.2303,0.2699,0.3257,0.2753,0.047928697040499645
mp-1098703,1.0376,2.0221,1.3436,1.4677666666666667,0.5038581976442711
mp-673255,0.9541,0.3598,0.3383,0.5507333333333333,0.3494911491487779
mp-1229041,0.0861,-0.0984,-0.434,-0.14876666666666669,0.26368277026255116
mp-1080265,0.9631,1.8226,1.3589,1.3815333333333333,0.4301967728067394
mp-1008926,-0.3865,0.3425,0.0678,0.007933333333333339,0.3681687973380326
mp-1080292,1.0162,1.791,1.6097,1.4723,0.40526266790811116
mp-978093,1.7473,1.4105,1.6991,1.6189666666666664,0.18213888473726123
mp-850068,0.9099,0.7967,0.6246,0.7770666666666667,0.14365974847998772
mp-1095694,0.8769,0.125,-0.4454,0.1855,0.6632228207774519
mp-567724,0.8108,0.7764,0.2,0.5957333333333333,0.3431464604703556
mp-29957,0.327,0.5715,1.6864,0.8616333333333334,0.724655161668868
mp-1072192,-7.6974,-0.5564,-1.4331,-3.2289666666666665,3.8945247544897352
mp-1080852,1.387,1.6237,1.6007,1.5371333333333332,0.13052686824303006
mp-1907,0.3355,0.4857,-0.1454,0.2252666666666667,0.3296746021963678
mp-976920,0.3886,0.6288,0.1888,0.40206666666666674,0.22030890434418063
mp-556392,1.9836,1.9809,2.0918,2.0187666666666666,0.06326312775490424
mp-1232349,0.8395,0.7039,0.6254,0.7229333333333333,0.10831160294877619
mp-1080272,1.4063,1.7506,1.5194,1.5587666666666669,0.1754933711948497
mp-1183249,-1.8774,0.0015,-0.2998,-0.7252333333333333,1.0091141874601373
mp-1172860,-1.546,-1.1324,-0.5642,-1.0808666666666666,0.4929245107857118
mp-20862,-0.481,0.1437,0.0882,-0.08303333333333333,0.34576460682570354
mp-1206986,1.7063,-1.7407,1.7484,0.5713333333333334,2.0023902475125404
mp-1185988,-1.1415,0.0193,-3.3446,-1.488933333333333,1.7086510010336615
mp-1080793,-0.4267,0.5674,-0.3356,-0.06496666666666667,0.5495366260162587
mp-28223,1.3233,1.5953,1.2493,1.3892999999999998,0.1821976948262518
mp-2495,0.8915,1.5267,1.7415,1.3865666666666667,0.4419875714693043
mp-647075,1.9892,1.9759,2.038,2.0010333333333334,0.0326974514807091
mp-29639,-2.3649,-0.8632,-2.7238,-1.9839666666666667,0.9870616714944074
mp-2469,1.1465,1.0753,0.9535,1.0584333333333333,0.09759924863098761
mp-1245280,2.0364,2.0515,1.6156,1.9011666666666664,0.24742320694173645
mp-1018751,1.2084,1.6126,1.6632,1.4947333333333332,0.24925924924329962
mp-1098705,2.0791,2.2366,1.8521,2.0559333333333334,0.19329403336195697
mp-947,1.7641,1.6191,1.0627,1.4819666666666667,0.37026295160781797
mp-11584,1.1647,0.5562,7.337,3.0193,3.751595397960713
mp-1105049,-1.1291,0.0182,-0.2612,-0.4573666666666667,0.5982769787759958
mp-1066480,0.1391,0.5013,0.3039,0.31476666666666664,0.1813443501555351
