material_id,formula,prediction,formation_energy_per_atom,energy_above_hull,crystal_system
mp-561375,Pr10S19,1.6772,-2.076629934831175,0.0,Tetragonal
mp-2076,ZrSe2,1.6433,-1.5805342943749991,0.0,Trigonal
mp-985831,HfSe2,1.6828,-1.564946299374999,0.0,Trigonal
mp-2495,PrS,1.7415,-2.28349878723958,0.0,Cubic
mp-554820,ZnS,2.0901,-0.962698349620534,0.0,Trigonal
mp-684749,Zr3S4,2.0525,-1.86078058625,0.0,Triclinic
mp-1218055,Ta7S12,1.6537,-1.380009600070174,0.0,Monoclinic
mp-2826,Lu2S3,1.7977,-2.354043240354164,0.0,Trigonal
mp-1206743,HfS,1.8455,-1.691345381406254,0.0,Hexagonal
mp-1080689,LuTe3,1.7367,-1.145172917916666,0.0,Orthorhombic
mp-27191,Zr9S2,2.2018,-0.7009283793181821,0.0,Tetragonal
mp-20973,Ce2S3,1.6864,-2.409448382687498,0.0,Orthorhombic
mp-15179,Pr2S3,1.9581,-2.365342227854165,0.0,Orthorhombic
mp-1197374,Zr2S,1.6487,-1.264283809166663,0.0,Orthorhombic
mp-555096,PrS2,1.7041,-2.010772799930554,0.0,Monoclinic
mp-1186,ZrS2,1.6504,-1.8483086849999992,0.0,Trigonal
mp-2350,LaS,1.7717,-2.43041202890625,0.0,Cubic
mp-1189791,Y2Te3,2.3431,-1.6689013615,0.0,Orthorhombic
mp-350,Zr5Te4,1.7617,-0.965327408333334,0.0,Tetragonal
mp-10014,TaS2,1.6305,-1.381073649111107,0.0,Trigonal
mp-7475,La2S3,1.7689,-2.508305558187499,0.0,Orthorhombic
mp-558229,La10S19,1.6507,-2.205681217877154,0.0,Tetragonal
mp-7859,ZrS,1.7999,-1.684560418749999,0.0,Tetragonal
mp-1206927,Hf2Se,2.2926,-0.9371599863541692,0.0,Hexagonal
mp-28919,Hf3Te2,2.4238,-0.6947484340000071,0.0,Tetragonal
mp-1539,ZrTe,1.7542,-1.042866607500002,0.0,Hexagonal
mp-10000,Hf2S,2.335,-1.171399257604169,0.0,Hexagonal
mp-1215598,Zr2Se3,1.95,-1.5826493064375,0.0,Monoclinic
mp-1793,Zr3Te,2.111,-0.5834022962500001,0.0,Tetragonal
