fold,mae,rmse,r2
1,0.10017943007409963,0.1907219192624756,0.9070933864982782
2,0.13683166333595748,0.2972717828239882,0.787130720438932
3,0.13480156299271254,0.27869313889833414,0.805730201564581
4,0.1449786079469207,0.29528193437318495,0.786145421246938
5,0.1408165599651183,0.25623374331603244,0.8239768586973114
