material_id,actual,predicted
mp-684978,0.0,1.0872081857946936
mp-1105836,1.3929,1.1068976857946935
mp-401,1.034999999999999,1.1068976857946935
mp-684969,0.927999999999999,1.1068976857946935
mp-1476,0.0,1.1817281767303818
mp-862373,0.0,1.1772777905565979
mp-1205354,0.625799999999999,1.0210034166666666
mp-1219395,0.624699999999999,1.0210034166666666
mp-684690,0.5374,1.0210034166666666
mp-723973,0.0,1.0210034166666666
mp-1782,0.0,0.9883069752913751
mp-1232237,0.0,0.9712054999999999
mp-21576,0.0,0.7093585984897516
mp-1219396,0.012699999999999,0.5498874032679736
mp-12383,0.0125,0.5498874032679736
mp-32654,0.0,0.5498874032679736
mp-685069,0.0033,0.5498874032679736
mp-1186975,0.0,0.760074820711974
mp-1219373,0.0,0.5844057366013068
mp-541594,0.0,0.7144977155837686
mp-1197413,0.0,0.9122680666666666
mp-10026,0.0,0.7363681182539679
mp-1079832,0.0,0.7363681182539679
mp-1187016,0.0,0.5371619134504381
mp-1188645,0.6665000000000001,1.1806730508546999
mp-32891,1.901899999999999,1.1806730508546999
mp-541289,1.5992000000000002,1.1806730508546999
mp-15670,0.0,1.1560235508546999
mp-1534,0.0,1.321639882206682
mp-22562,0.0,1.321639882206682
mp-16228,0.0,1.3296626230769226
mp-1105821,1.315799999999999,1.0630641
mp-673656,1.5955,1.0630641
mp-32727,0.0,1.0504092000000003
mp-2637,0.0,1.079536156060606
mp-1232213,0.127299999999999,1.0978361000000003
mp-1232214,0.0,1.0978361000000003
mp-1189791,0.559299999999999,0.6915666940476188
mp-1207306,0.363899999999999,0.6915666940476188
mp-642301,0.0,0.7651672815344849
mp-1207735,0.0,0.7147874034150553
mp-1708,0.0,0.8057874154761901
mp-865430,0.0,0.8057874154761901
mp-1077365,0.0,0.6253361845238095
mp-945077,0.0,0.6033319864718613
mp-684731,0.0,0.9344481582417582
mp-616559,0.0,0.8910930617687185
mp-1101099,0.0,0.8068054166666668
mp-1217192,0.0,0.8068054166666668
mp-1217073,0.0,0.9014664092118571
mp-1101100,0.2669,0.8709668921245423
mp-1217101,0.0,0.8709668921245423
mp-1217121,0.0,0.8709668921245423
mp-1208223,0.0,0.8274253320512824
mp-1217163,0.0,0.8274253320512824
mp-1217166,0.0,0.8274253320512824
mp-1217172,0.0,0.8274253320512824
mp-1217445,0.0,0.8274253320512824
mp-673657,0.0,0.8209572653846158
mp-680850,0.0,0.7820449545454541
mp-673637,0.0,0.8270402023809522
mp-1018028,0.0,0.939567244110292
mp-1101023,0.7957000000000001,0.939567244110292
mp-545,0.0,0.939567244110292
mp-554462,0.0,0.939567244110292
mp-557762,0.0,0.939567244110292
mp-1008676,0.0,1.0098359231825307
mp-1008682,0.0,1.0098359231825307
mp-1042098,1.638199999999999,1.0098359231825307
mp-1062030,0.051099999999999,1.0098359231825307
mp-1072088,0.0,1.0098359231825307
mp-1072192,0.0,1.0098359231825307
mp-1077021,0.2055,1.0098359231825307
mp-1077263,0.0,1.0098359231825307
mp-1101258,0.0,1.0098359231825307
mp-1101969,0.0,1.0098359231825307
mp-1102845,0.0,1.0098359231825307
mp-1216778,0.7773000000000001,1.0098359231825307
mp-1386900,0.0,1.0098359231825307
mp-2156,0.0,1.0098359231825307
mp-558110,0.0,1.0098359231825307
mp-685013,0.0,1.0098359231825307
mp-9027,0.0,1.0098359231825307
mp-936075,0.0,1.0098359231825307
