,A_Z,B_Z,X_Z,weighted_Z,delta_AB_Z,delta_AX_Z,delta_BX_Z,A_mass,B_mass,X_mass,weighted_mass,delta_AB_mass,delta_AX_mass,delta_BX_mass,A_X,B_X,X_X,weighted_X,delta_AB_X,delta_AX_X,delta_BX_X,A_row,B_row,X_row,weighted_row,delta_AB_row,delta_AX_row,delta_BX_row,A_group,B_group,X_group,weighted_group,delta_AB_group,delta_AX_group,delta_BX_group
4979,1.4405449001424302,-0.2199822883869677,-0.3213574956846987,0.3288132035834668,1.2184017300663532,1.5107732641414715,-0.05070094850971438,1.408399213728895,-0.2722685099580334,-0.3056329538763202,0.3086620000937334,1.2243046202617451,1.46655944561676,-0.11249794153746981,-0.319446440174592,-0.2343905106176972,0.5510811662142671,0.4894360778563102,-0.06666279233214985,-0.5554166053499796,-0.5029794404556059,1.5446781651939872,-0.24716870518376147,-0.393958627608349,0.19808312471385886,1.3374736338199338,1.6026481490979558,0.045055712040526594,-0.3091825111894705,0.7198119230974284,0.39950008551410265,0.5709820733012146,-1.0411237373658397,-0.4436121958941157,0.21077984645754064
3071,-0.8272935346155679,1.896861874670466,0.5307837662036736,0.8514289771644032,-2.002152628530901,-1.033782835631731,1.4551595692624837,-0.8210351880706466,1.9299452554874603,0.4446465394754637,0.8357686504820417,-2.034377630427588,-0.9791394051698161,1.5450751770230173,0.1125580872804161,1.2782230046728869,0.1762431505096484,0.5141093566437334,-1.5973744707519661,-0.08641208650684284,0.45154789038493676,-0.8699977730111607,1.5582936798709563,0.770824870315171,0.8262831819789244,-1.712062299665373,-1.2372433546786028,0.744420486714034,-0.5312249058079979,-0.4936153059040588,0.6095496223839565,0.280870432493142,0.01015914019113761,-0.7129266562837424,-0.6794981444757453
6218,0.041240334015154784,-0.9416337076110928,1.098877940795922,0.3505888608160057,0.7229318287436987,-0.48852081425175903,-1.3414385351715983,-0.03512962201731603,-0.9125886553590835,1.0420014728954528,0.2639322838202272,0.6549707745033045,-0.5186842705301096,-1.2743592402388397,0.9285666391398748,0.9160479376314796,-1.8719788638763055,-1.667008488164513,-0.12442549717818072,1.8201932400946048,1.7628177590143699,-0.06510579360944473,-1.1498998977111203,1.935608368238691,1.1403832106114569,0.7275664471228724,-1.2372433546786028,-2.0530386119799955,1.6891990403772754,1.326525537598172,-1.9110448200542893,-0.9521040409411686,0.2204157157025331,2.2495324080021515,1.9913358283241125
3875,-0.8755454162061636,-0.6048630453065011,-0.3213574956846987,-0.8906236014387191,-0.19722655942694528,-0.6702748213784163,-0.3948976382862167,-0.8461823061976493,-0.5984604181023949,-0.3056329538763202,-0.8776282862505487,-0.16738163785309762,-0.6530905180129339,-0.4062735675469233,-0.7994514706801558,-0.4687390834091959,0.5510811662142671,0.3364617493742843,-0.32659496413928846,-0.7593316135426476,-0.6090380327712217,-0.8699977730111607,-0.24716870518376147,-0.393958627608349,-0.7442169611837398,-0.49224792627125025,-0.527270478734463,0.045055712040526594,-0.7532673004265251,-0.8980910489045545,0.39950008551410265,-0.154297028718968,0.2204157157025331,-0.7129266562837424,-0.8066807146090719
3866,-0.8755454162061636,-0.6048630453065011,-0.3213574956846987,-0.8906236014387191,-0.19722655942694528,-0.6702748213784163,-0.3948976382862167,-0.8461823061976493,-0.5984604181023949,-0.3056329538763202,-0.8776282862505487,-0.16738163785309762,-0.6530905180129339,-0.4062735675469233,-0.7994514706801558,-0.4687390834091959,0.5510811662142671,0.3364617493742843,-0.32659496413928846,-0.7593316135426476,-0.6090380327712217,-0.8699977730111607,-0.24716870518376147,-0.393958627608349,-0.7442169611837398,-0.49224792627125025,-0.527270478734463,0.045055712040526594,-0.7532673004265251,-0.8980910489045545,0.39950008551410265,-0.154297028718968,0.2204157157025331,-0.7129266562837424,-0.8066807146090719
233,1.2957892553706432,1.4638710231359908,-0.3213574956846987,1.0256342350247156,-0.12644514495228035,1.3744577587964784,1.4551595692624837,1.3399374395685006,1.466659585424246,-0.3056329538763202,1.0962741457599832,-0.12192078403752094,1.402194952327632,1.453619049875661,-0.8954524767812687,-1.4061333745751916,0.5510811662142671,0.09959827301501749,0.8286591327813276,-0.8001146151811812,-1.0332724020336852,1.5446781651939872,1.5582936798709563,-0.393958627608349,0.8262831819789244,0.11765926042581104,1.6026481490979558,1.4437852613875417,-0.5312249058079979,-1.1003289204048023,0.39950008551410265,-0.154297028718968,0.640928866725324,-0.5782694260889291,-0.9338632847423984
1554,-0.48953036348139795,-1.1340740860708596,-0.3213574956846987,-0.9559505731363362,0.47519687808237143,-0.3067668071251017,-0.8681680867289074,-0.5381883407979545,-1.0610502800283053,-0.3056329538763202,-0.9544202011597964,0.4008756024846808,-0.36352928822919184,-0.8228921987263556,-1.0634542374582163,-1.768308441616599,0.5510811662142671,-0.018833465164615922,1.1174726570114817,-0.8714848680486154,-1.1971811356123643,-0.06510579360944473,-1.1498998977111203,-0.393958627608349,-0.7442169611837398,0.7275664471228724,0.18270239720967668,-0.6543090626329808,-0.7532673004265251,-1.504804663405298,0.39950008551410265,-0.3718807593250226,0.8511854422367195,-0.7129266562837424,-1.1882284250090518
4466,-0.8755454162061636,0.261118657762449,-0.3213574956846987,-0.4986617712530166,-0.8342592896989296,-0.6702748213784163,0.3795449137109136,-0.8461823061976493,0.2077590871658228,-0.3056329538763202,-0.49792923682243934,-0.7685155024854065,-0.6530905180129339,0.31982549851691616,-0.7994514706801558,-0.9161318132838756,0.5510811662142671,0.23283397846710452,0.279913436744035,-0.7593316135426476,-0.8115135271919429,-0.8699977730111607,0.6555624873435975,-0.393958627608349,-0.43011693255120736,-1.1021551129683116,-0.527270478734463,0.744420486714034,-0.7532673004265251,-0.8980910489045545,0.39950008551410265,-0.154297028718968,0.2204157157025331,-0.7129266562837424,-0.8066807146090719
2596,-1.2615604689309292,-0.6048630453065011,-0.3213574956846987,-1.0648288592990314,-0.48035221732560496,-1.033782835631731,-0.3948976382862167,-1.1530336371011551,-0.5984604181023949,-0.3056329538763202,-1.0181754283523323,-0.38989377429885436,-0.9415774973662154,-0.4062735675469233,-0.679450213053765,-0.4687390834091959,0.5510811662142671,0.3611350281617074,-0.1821882020242116,-0.7083528614944806,-0.6090380327712217,-1.6748897524128765,-0.24716870518376147,-0.393958627608349,-1.058316989816273,-1.1021551129683116,-1.2372433546786028,0.045055712040526594,-0.7532673004265251,-0.8980910489045545,0.39950008551410265,-0.154297028718968,0.2204157157025331,-0.7129266562837424,-0.8066807146090719
3551,-0.8755454162061636,-1.0859639914559178,-0.3213574956846987,-1.1083801737641095,0.15668051294637933,-0.6702748213784163,-0.8251435005068447,-0.8461823061976493,-1.0365936833912697,-0.3056329538763202,-1.0839725675113625,0.1592995466953365,-0.6530905180129339,-0.8008660484518793,-0.7994514706801558,-0.9587406447005118,0.5510811662142671,0.22296466695213507,0.3376761415900659,-0.7593316135426476,-0.830796907612964,-0.8699977730111607,-1.1498998977111203,-0.393958627608349,-1.058316989816273,0.11765926042581104,-0.527270478734463,-0.6543090626329808,-0.7532673004265251,-1.3025667919050503,0.39950008551410265,-0.29935284912300464,0.640928866725324,-0.7129266562837424,-1.0610458548757251
