,A_Z,B_Z,X_Z,weighted_Z,delta_AB_Z,delta_AX_Z,delta_BX_Z,A_mass,B_mass,X_mass,weighted_mass,delta_AB_mass,delta_AX_mass,delta_BX_mass,A_X,B_X,X_X,weighted_X,delta_AB_X,delta_AX_X,delta_BX_X,A_row,B_row,X_row,weighted_row,delta_AB_row,delta_AX_row,delta_BX_row,A_group,B_group,X_group,weighted_group,delta_AB_group,delta_AX_group,delta_BX_group
5935,-0.00050266966,0.07421139,0.030959457,0.006626686,0.18857123,-0.007861103,0.017576423,-0.0016759378,-0.020060409,0.02102739,0.0046622055,0.06675938,0.0018598716,-0.077651404,-0.09838458,-0.102111116,0.0023337316,0.07945712,-0.02487897,-0.06673475,-0.055337127,-0.00024479584,0.0,0.0,-0.031675544,-0.017317992,-0.046699837,0.002299177,0.016883967,0.078748316,-0.00041759916,-0.018546248,0.038153924,0.0014494162,0.033434335
239,0.022663211,-0.072033435,0.03297136,0.006541689,-0.014267445,0.0049023884,0.01902719,0.006988223,-0.018826043,0.032760914,0.014915638,0.017630607,-0.031662542,0.03751145,0.1618634,0.04121474,0.0047306344,0.03137369,0.03225336,0.08226383,0.0141728325,-0.00022143294,0.0,0.0,-0.023657536,0.014361815,0.068310104,-0.0022737067,-0.01073046,-0.035552017,-0.0026140488,-0.058375653,-0.011468053,-0.016930332,-0.025406042
5678,0.06078665,0.0960635,0.028479619,-0.0019661975,-0.013154223,0.036257688,-0.028538838,0.019811194,0.019216215,0.02099505,-0.017502608,-0.009050119,0.04702935,-0.03941331,-0.0045439806,0.040341906,0.005206747,-0.01735172,0.0064911162,-0.034990642,-0.04695403,-0.00022143294,0.0,0.0,-0.042303916,0.0038255835,0.10663797,-0.0019902524,-0.0035590795,0.1181109,-0.0026875301,-0.023053981,0.018321063,-0.025119236,0.035288036
4698,-0.021004457,0.0996703,0.03850354,0.021410108,-0.03200419,0.0003757021,-0.022750424,0.0071762092,0.029914455,0.028382909,0.05373501,0.057015233,-0.003003474,-0.019751057,0.17778476,0.038094245,0.0027375724,-0.025730947,-0.062823124,0.07907308,-0.02883314,-0.0010863129,0.0,0.0,-0.018037628,-0.024015406,-0.021103678,0.0020189288,-0.019375252,-0.053966068,-0.0030578582,0.0015367381,-0.017127201,0.0035682286,-0.019699184
3433,0.029814033,0.0215752,0.026229028,0.0077699516,-0.0042553963,0.0039626677,-0.007060274,0.014378244,0.024219723,0.016995503,-0.006536808,0.01089934,-0.016463403,0.0018341221,-0.11045148,0.06439374,0.018596372,0.09402606,-0.13516456,-0.14676157,0.0754811,-0.00011481758,0.0,0.0,-0.03285611,0.005205662,-0.050071485,0.00077964773,-0.09685939,0.1358282,-0.015722979,0.05896983,-0.055092778,0.028437419,0.059664328
3615,-0.0330849,-0.106351815,0.03327812,0.034079645,0.010662841,-0.005582258,0.02021362,-0.0054525873,-0.014569899,0.028697442,-0.0059415195,-0.014670423,-0.0044819904,0.030278651,0.19047852,0.0252777,0.0023574797,0.019091047,0.012462913,0.07776985,0.023191093,-0.00024479584,0.0,0.0,-0.010598965,-0.012262107,-0.03173482,-0.0022737067,-0.021954576,-0.027296124,-0.0023630415,-0.06036486,-0.015504069,-0.008307024,-0.021766817
5689,-0.007293507,0.09798492,-0.2419406,-0.050946448,-0.044389576,-0.011686985,-0.038305297,0.0019995547,0.0010003513,-0.19536677,-0.09313775,-0.0018039709,-0.0015887164,-0.031413335,-0.208245,-0.0012170684,-0.0069153095,-0.064736366,-0.059097443,-0.10802671,0.010488161,-0.00027801792,0.0,0.0,-0.0013408493,-0.0074632345,-0.028801473,0.0024003496,-0.07062753,-0.040954147,0.00023896838,-0.01729541,-0.03801711,-0.028134862,-0.03810549
1426,0.050615303,0.10969709,-0.24874349,-0.024868336,0.04131957,-0.057908215,0.015345211,0.020869922,0.011352852,-0.17306358,-0.09236882,0.01234585,0.05792822,-0.05538527,-0.032890387,0.058103647,-0.028648753,-0.0573916,0.034470737,-0.1054338,-0.0038727107,-0.00024479584,0.0,0.0,-0.0041810255,-0.003534903,0.09000609,0.0023023828,-0.0075985724,0.07534046,-0.0021938316,-0.023595612,0.01720318,0.0023719491,0.06186486
2692,0.06994109,-0.1268705,0.026511738,-0.09302928,-0.09775325,-0.023467654,0.016500339,-0.0054525873,-0.018604971,0.015643423,-0.0402575,-0.03148269,-0.0015359167,0.028059212,-0.05343916,0.016838746,0.0027808966,-0.02195072,-0.062148146,-0.031023847,0.009658306,0.010971305,0.0,0.0,0.005557645,-0.019633215,-0.030914111,-0.0019902524,-0.023000427,-0.07797058,-0.0023630415,-0.059105024,-0.014807788,-0.0022926158,-0.03625995
4368,-0.032790113,0.041328505,0.032297894,0.020903224,-0.080957815,-0.0071521387,-0.030643307,-0.001684867,-0.009653346,0.028382909,-0.0112195965,-0.017007122,-0.004312553,-0.027279306,0.19326955,0.029028654,0.0019719885,-0.017561233,0.022134013,0.07834702,-0.007676904,-0.00024479584,0.0,0.0,-0.020285562,-0.024469666,-0.032904174,0.0020189288,-0.007332415,-0.08003869,-0.0024363925,-0.06127431,-0.029110141,-0.004516711,-0.023153491
1181,0.07101805,-0.07236094,0.03516042,0.0071849707,0.054436594,0.029060088,0.027649662,0.02624364,-0.01526744,0.02378768,-0.011808401,0.022999778,0.055007536,0.039188094,-0.015065478,0.031813975,0.0045340885,0.002566462,0.05224067,0.0103708785,0.038803626,-0.00022143294,0.0,0.0,-0.026302697,0.0032400335,0.114597976,-0.0019902524,-0.00021327089,-0.018162543,-0.0024842978,0.022170905,-0.012372782,-0.019667171,-0.031220524
2446,0.06994109,-0.1268705,0.026511738,-0.09302928,-0.09775325,-0.023467654,0.016500339,-0.0054525873,-0.018604971,0.015643423,-0.0402575,-0.03148269,-0.0015359167,0.028059212,-0.05343916,0.016838746,0.0027808966,-0.02195072,-0.062148146,-0.031023847,0.009658306,0.010971305,0.0,0.0,0.005557645,-0.019633215,-0.030914111,-0.0019902524,-0.023000427,-0.07797058,-0.0023630415,-0.059105024,-0.014807788,-0.0022926158,-0.03625995
1934,-0.041193455,0.15075988,0.10522269,0.0034147121,0.003112121,0.0069194487,-0.009267476,-0.0273395,0.034415293,0.12256221,-0.018004358,0.010676919,0.0053599104,-0.034504846,0.24459925,0.14431965,0.0026378208,0.17866357,0.09768872,-0.041302588,0.015480667,-0.00024479584,0.0,0.0,0.3679667,-0.0032431115,0.054805145,0.0024343496,-0.016399806,0.23763485,0.013672903,0.16378167,0.092392266,0.031953674,0.11654231
3011,-0.057645045,0.00033644072,-0.25691172,-0.002328884,-0.037958525,-0.013566937,-0.0014243955,-0.011484844,0.0036487319,-0.054456316,-0.018273488,-0.088396095,-9.729844e-05,-0.025084723,-0.07637424,0.045039188,0.04249053,0.008343416,-0.11012107,-0.074768595,0.012820489,-0.0010863129,0.0,0.0,0.0030320324,-0.046698418,-0.023199422,0.00077964773,-0.026639262,-0.0769979,-0.05432116,0.11567214,-0.03544131,0.01142056,-0.0037952163
1446,0.026460158,-0.06823778,-0.20257068,-0.019735076,-0.0049536787,0.0100529,-0.040197715,0.029177587,-0.12854443,-0.068511546,-0.08541985,0.024657734,-0.031724248,-0.02779687,-0.04631597,-0.23513249,0.017532052,0.012945787,0.026645726,-0.060533307,0.038678773,-0.00022143294,0.0,0.0,0.009609777,0.00041837234,-0.044789273,0.00077964773,-0.019060863,-0.17643546,-0.07562016,0.013711844,-0.0044357977,-0.014430927,0.032655086
1992,0.015487174,0.09017818,0.028479619,0.009616276,-0.012168253,0.00628276,-0.029158987,0.00038018657,0.019216215,0.02099505,-0.00024391571,-0.005575745,-0.023052156,-0.038378716,-0.035926115,0.03720863,0.0052237515,-0.02309568,0.0073990757,-0.082008235,-0.0447791,-0.00022143294,0.0,0.0,-0.04091921,0.006220207,0.10663797,-0.0019902524,-0.0035590795,0.11807834,-0.002817281,-0.025298871,0.02551873,-0.025138905,0.034789387
756,-0.0015955282,-0.09803333,0.029433502,0.032798406,0.010129164,0.008499224,0.02193289,-0.008153484,-0.014887315,0.018854186,0.03984045,-0.018518502,-0.0003018279,0.033186797,-0.021482944,0.029056855,0.0025922046,0.024398185,0.018317893,-0.028077928,0.010786199,-0.00024479584,0.0,0.0,-0.025742596,-0.005370613,-0.044082746,-0.0019902524,-0.0151872635,-0.023814471,-0.0020936546,-0.060837056,-0.008881539,-0.018865606,-0.029436706
4343,-0.0009201837,0.049194816,-0.030799612,-0.0035766982,-0.050977655,0.011425581,-0.009074688,0.004190824,0.016730564,-0.10365223,-0.03671049,0.029756444,-0.0006194904,-0.0015086088,0.18115695,0.17436203,0.066307776,0.14928578,0.05883785,-0.08433351,0.05747419,-0.00024479584,0.0,0.0,0.021661453,-0.01680417,-0.010087157,0.003485198,0.038162638,-0.033458974,0.041620817,-0.050598193,-0.0229614,0.03953117,-0.059814908
5064,0.007385276,-0.020371232,-0.05638619,0.0004486529,-0.0026407344,0.01813636,0.0947876,0.0032739127,-0.009143671,-0.10387059,-0.05175471,0.017771916,0.031189924,0.012226027,-0.23629239,-0.033056285,0.1343898,0.08164713,0.046292767,-0.095765665,0.12762208,-0.00010572172,0.0,0.0,-0.022320993,0.0024686991,0.016802216,0.0046503837,0.07284054,0.08136898,-0.042393554,0.015716393,0.003145134,0.08334917,0.047719784
