feature,pearson_r,abs_r,pvalue,n
band_gap,-0.2546108348366909,0.2546108348366909,1.1347073731011936e-145,9858
cbm,-0.23271968742338872,0.23271968742338872,2.3468773968269103e-121,9858
nsites,-0.13843027312805858,0.13843027312805858,2.2437793738320765e-43,9858
density,-0.10476899592996454,0.10476899592996454,1.81572395690555e-25,9858
vbm,-0.03254734019779775,0.03254734019779775,0.0012293169931004268,9858
energy_above_hull,0.022418829372394204,0.022418829372394204,0.02602047004667477,9858
volume,-0.01067766086349282,0.01067766086349282,0.2891202057574041,9858
