material_id,formula,band_gap,formation_energy_per_atom,energy_above_hull,volume,density,nsites,elements,cbm,vbm,crystal_system,spacegroup,is_stable,cif_path
mp-1245098,TiO2,2.6007,-3.341442911333334,0.16661254061111,1182.7412595916207,3.363887407573496,90,"['O', 'Ti']",3.5857,0.985,Triclinic,P1,False,data\catalysis\cif\mp-1245098.cif
mp-1245134,TiO2,2.4383,-3.328620551666667,0.179434900277776,1134.3007031129769,3.507542945745311,90,"['O', 'Ti']",3.8810000000000002,1.4427,Triclinic,P1,False,data\catalysis\cif\mp-1245134.cif
mp-1245308,TiO2,2.3002000000000002,-3.337827311,0.17022814094444302,1070.2193852624168,3.717563412087061,90,"['O', 'Ti']",4.4296,2.1294,Triclinic,P1,False,data\catalysis\cif\mp-1245308.cif
mp-1245321,TiO2,2.4087,-3.318757430666667,0.189298021277776,1148.1469213028251,3.4652433026979352,90,"['O', 'Ti']",3.8056,1.3969,Triclinic,P1,False,data\catalysis\cif\mp-1245321.cif
mp-777129,TiO2,3.3487,-3.454227132777779,0.053828319166665,1066.2343495957637,2.238874651374489,54,"['O', 'Ti']",1.2322,-2.1165,Triclinic,P1,False,data\catalysis\cif\mp-777129.cif
mp-554278,TiO2,2.6774,-3.501638054444445,0.006417397499999001,146.70632301220797,3.615939061446627,12,"['O', 'Ti']",4.0444,1.367,Monoclinic,C2/m,False,data\catalysis\cif\mp-554278.cif
mp-766454,TiO2,2.231,-3.4621163130555552,0.045939138888888,98.98024446129928,4.019598507976489,9,"['O', 'Ti']",4.5369,2.3059,Monoclinic,C2/m,False,data\catalysis\cif\mp-766454.cif
mp-2657,TiO2,1.780999999999999,-3.464416747777778,0.043638704166665,125.22506013556851,4.236221754389662,12,"['O', 'Ti']",4.9826,3.2016,Tetragonal,P4_2/mnm,False,data\catalysis\cif\mp-2657.cif
mp-430,TiO2,2.2317,-3.46857195111111,0.039483500833334004,116.4513251189871,4.555389330254649,12,"['O', 'Ti']",6.1769,3.9452,Monoclinic,P2_1/c,False,data\catalysis\cif\mp-430.cif
mp-390,TiO2,2.0586,-3.5080554519444442,0.0,68.78397225482972,3.856139057916947,6,"['O', 'Ti']",3.9525,1.8939,Tetragonal,I4_1/amd,True,data\catalysis\cif\mp-390.cif
mp-34688,TiO2,1.9546000000000001,-3.493553009444445,0.014502442499999001,70.26402113532312,3.774912931038938,6,"['O', 'Ti']",3.9158,1.9612,Monoclinic,C2/c,False,data\catalysis\cif\mp-34688.cif
mp-553432,TiO2,3.421,-3.358393413055555,0.14966203888888702,164.14390279971985,2.4238539243290482,9,"['O', 'Ti']",1.5777,-1.8433000000000002,Trigonal,P3_121,False,data\catalysis\cif\mp-553432.cif
mp-1044853,TiO2,1.7851,-3.330270766666665,0.17778468527777802,459.9689446739458,3.459893086806675,36,"['O', 'Ti']",3.0525,1.2674,Trigonal,P3m1,False,data\catalysis\cif\mp-1044853.cif
