material_id,formula,chemsys,band_gap,formation_energy_per_atom,energy_above_hull,volume,density,nsites,elements,crystal_system,spacegroup,is_stable,cif_path
mp-1216463,V7S8,S-V,0.0,-1.172572197333333,0.11845694299999501,213.06372239291585,4.778354221725124,15,"['S', 'V']",Monoclinic,C2/m,False,data\tmc_data\cif\mp-1216463.cif
mp-1214,VS,S-V,0.0,-0.7965926412499991,0.43665285687499705,55.66414117237985,4.952399628510783,4,"['S', 'V']",Hexagonal,P6_3/mmc,False,data\tmc_data\cif\mp-1214.cif
mp-1868,VS,S-V,0.0,-1.145506397499999,0.08773910062499701,108.7116478292818,5.071601388958302,8,"['S', 'V']",Orthorhombic,Pnma,False,data\tmc_data\cif\mp-1868.cif
mp-33031,VS,S-V,0.0,-1.129601916249999,0.103643581874997,53.31528991429926,5.170581881981481,4,"['S', 'V']",Hexagonal,P6_3/mmc,False,data\tmc_data\cif\mp-33031.cif
mp-849065,VS,S-V,0.0,-0.9643527712499991,0.26889272687499605,62.24895540256728,4.428525270515567,4,"['S', 'V']",Hexagonal,P6_3/mmc,False,data\tmc_data\cif\mp-849065.cif
mp-1013525,VS2,S-V,0.0,-1.200986238333333,0.0,111.16825623724563,3.437684959175288,6,"['S', 'V']",Hexagonal,P6_3/mmc,True,data\tmc_data\cif\mp-1013525.cif
mp-1013526,VS2,S-V,0.0,-1.183124923333333,0.017861314999999,56.820383419963306,3.362890387239581,3,"['S', 'V']",Trigonal,R-3m,False,data\tmc_data\cif\mp-1013526.cif
mp-1178763,VS2,S-V,0.0,-1.181916868333332,0.019069370000000002,206.1179075567445,1.854091412699375,6,"['S', 'V']",Monoclinic,C2/m,False,data\tmc_data\cif\mp-1178763.cif
mp-1405126,VS2,S-V,0.0,-1.112800340833332,0.08818589750000001,206.1044143774354,3.7084255915516513,12,"['S', 'V']",Cubic,Fd-3m,False,data\tmc_data\cif\mp-1405126.cif
mp-1424931,VS2,S-V,0.0,-1.182897465,0.018088773333333003,65.86699865212796,2.901008473324276,3,"['S', 'V']",Trigonal,R-3m,False,data\tmc_data\cif\mp-1424931.cif
mp-1443423,VS2,S-V,0.0,-0.9380918049999991,0.262894433333333,146.5459254918962,2.607793025440729,6,"['S', 'V']",Tetragonal,I-42d,False,data\tmc_data\cif\mp-1443423.cif
mp-557523,VS2,S-V,0.0,-1.167069583333334,0.033916654999998005,206.53560181235125,1.850341728259218,6,"['S', 'V']",Hexagonal,P6_3/mmc,False,data\tmc_data\cif\mp-557523.cif
mp-611224,VS2,S-V,0.0,1.056313655,2.2572998933333333,135.5577696876874,1.409588853833271,3,"['S', 'V']",Triclinic,P1,False,data\tmc_data\cif\mp-611224.cif
mp-655446,VS2,S-V,0.0,0.740047435,1.941033673333333,132.16207782157525,1.445805970607009,3,"['S', 'V']",Triclinic,P1,False,data\tmc_data\cif\mp-655446.cif
mp-849060,VS2,S-V,0.0,-1.167219273333332,0.033766964999999004,103.18549022902315,1.85181773889093,3,"['S', 'V']",Triclinic,P-1,False,data\tmc_data\cif\mp-849060.cif
mp-849080,VS2,S-V,0.0,0.728974228333333,1.929960466666666,121.2723076805569,1.575633587393975,3,"['S', 'V']",Triclinic,P1,False,data\tmc_data\cif\mp-849080.cif
mp-849098,VS2,S-V,0.0,-0.617993248333333,0.582992989999999,283.4280610335297,0.6741771457119651,3,"['S', 'V']",Orthorhombic,Pmmm,False,data\tmc_data\cif\mp-849098.cif
mp-9561,VS2,S-V,0.0,-1.186567376666668,0.014418861666664002,54.930910238631355,3.478564625493502,3,"['S', 'V']",Trigonal,P-3m1,False,data\tmc_data\cif\mp-9561.cif
mp-541155,VS4,S-V,0.9239,-0.9510626574999991,0.0,446.1816509535987,2.667712496982679,20,"['S', 'V']",Monoclinic,C2/c,True,data\tmc_data\cif\mp-541155.cif
mp-685047,V23Se40,Se-V,0.0,-0.869184693849206,0.032510379523809,1267.646373119778,5.67210604646895,63,"['Se', 'V']",Monoclinic,C2/m,False,data\tmc_data\cif\mp-685047.cif
mp-28256,V2Se9,Se-V,0.722,-0.45850979786931906,0.0,571.9504613813261,4.717982682057983,22,"['Se', 'V']",Monoclinic,C2/c,True,data\tmc_data\cif\mp-28256.cif
mp-22700,V3Se4,Se-V,0.0,-0.91376362517857,0.0,127.5220958137311,6.102751891055088,7,"['Se', 'V']",Monoclinic,C2/m,True,data\tmc_data\cif\mp-22700.cif
mp-1087497,V5Se4,Se-V,0.0,-0.722309207361108,0.0,143.49816014793774,6.602289619074109,9,"['Se', 'V']",Tetragonal,I4/m,True,data\tmc_data\cif\mp-1087497.cif
mp-1207893,V5Se8,Se-V,0.0,-0.9437275209615361,0.0,261.28378130265,5.633266116089307,13,"['Se', 'V']",Monoclinic,C2/m,True,data\tmc_data\cif\mp-1207893.cif
mp-29131,VSe,Se-V,0.0,-0.632220386406247,0.17385012875000003,71.20717364976116,6.058561364081423,4,"['Se', 'V']",Hexagonal,P6_3/mmc,False,data\tmc_data\cif\mp-29131.cif
mp-569668,VSe,Se-V,0.0,-0.36095293390624705,0.44511758125000006,71.13606854601251,6.064617288216195,4,"['Se', 'V']",Hexagonal,P6_3/mmc,False,data\tmc_data\cif\mp-569668.cif
mp-604914,VSe,Se-V,0.0,-0.682917851406248,0.123152663749999,86.5552353538353,4.984251147331247,4,"['Se', 'V']",Tetragonal,P4/nmm,False,data\tmc_data\cif\mp-604914.cif
mp-694,VSe2,Se-V,0.0,-0.833392346041667,0.0,64.55613548875348,5.37242010589523,3,"['Se', 'V']",Trigonal,P-3m1,True,data\tmc_data\cif\mp-694.cif
mp-1028,V3Te4,Te-V,0.0,-0.559394049523812,0.014480818857139002,171.55194678761427,6.41968927079389,7,"['Te', 'V']",Monoclinic,C2/m,False,data\tmc_data\cif\mp-1028.cif
mp-2026078,V5Te4,Te-V,0.0,-0.531817333333334,0.0,202.6009496979474,6.270902953775892,9,"['Te', 'V']",Monoclinic,C2/m,True,data\tmc_data\cif\mp-2026078.cif
mp-9948,V5Te4,Te-V,0.0,-0.49330249185185204,0.0,186.89890155199254,6.797744038882044,9,"['Te', 'V']",Tetragonal,I4/m,True,data\tmc_data\cif\mp-9948.cif
mp-1207855,V5Te8,Te-V,0.0,-0.601765306410254,0.0,329.6602237723308,6.424888053689025,13,"['Te', 'V']",Monoclinic,C2/m,True,data\tmc_data\cif\mp-1207855.cif
mp-1216446,V9Te8,Te-V,0.0,-0.499640432549018,0.010250489764706001,388.70347040640024,6.3194481756694625,17,"['Te', 'V']",Triclinic,P1,False,data\tmc_data\cif\mp-1216446.cif
mp-10256,VTe,Te-V,0.0,-0.37813861083333306,0.150414295749999,88.74898436808401,6.6812062779161785,4,"['Te', 'V']",Hexagonal,P6_3/mmc,False,data\tmc_data\cif\mp-10256.cif
mp-1008626,VTe2,Te-V,0.0,-0.5893001077777781,0.018488458888882002,80.48661220464615,6.31608048509934,3,"['Te', 'V']",Trigonal,P-3m1,False,data\tmc_data\cif\mp-1008626.cif
mp-11687,VTe2,Te-V,0.0,-0.607788566666661,0.0,243.0937071265161,6.273629128453153,9,"['Te', 'V']",Monoclinic,C2/m,True,data\tmc_data\cif\mp-11687.cif
mp-1523643,VTe2,Te-V,0.0,-0.600824632222217,0.006963934444443,82.04066481340917,6.196438337179768,3,"['Te', 'V']",Monoclinic,C2/m,False,data\tmc_data\cif\mp-1523643.cif
mp-1173629,Nb11S12,Nb-S,0.0,-0.7081621015217391,0.561380196299045,968.1415838154809,4.825665315666877,46,"['Nb', 'S']",Monoclinic,C2/c,False,data\tmc_data\cif\mp-1173629.cif
mp-684971,Nb11S12,Nb-S,0.0,-1.09510688347826,0.17443541434252302,454.02992053741957,10.289910533083733,46,"['Nb', 'S']",Trigonal,R-3c,False,data\tmc_data\cif\mp-684971.cif
mp-683941,Nb14S5,Nb-S,0.0,-0.6590267005263141,0.0,1261.391268064481,7.693319009397218,76,"['Nb', 'S']",Orthorhombic,Pnma,True,data\tmc_data\cif\mp-683941.cif
mp-31381,Nb21S8,Nb-S,0.0,-0.679891663448273,0.009129852813289001,484.41074047510955,7.5673995622454004,29,"['Nb', 'S']",Tetragonal,I4/m,False,data\tmc_data\cif\mp-31381.cif
mp-684620,Nb25S48,Nb-S,0.0,-1.3650697605479452,0.0,1497.2642477824666,4.282901789608942,73,"['Nb', 'S']",Monoclinic,Cm,True,data\tmc_data\cif\mp-684620.cif
mp-1220631,Nb3S4,Nb-S,0.0,-1.309368832857143,0.07749125357142801,124.58564328822388,5.424419246267592,7,"['Nb', 'S']",Trigonal,P-3m1,False,data\tmc_data\cif\mp-1220631.cif
mp-12627,Nb3S4,Nb-S,0.0,-1.386860086428572,0.0,276.40309123624985,4.889994234425116,14,"['Nb', 'S']",Hexagonal,P6_3/m,True,data\tmc_data\cif\mp-12627.cif
mp-1220657,Nb3S5,Nb-S,0.06570000000000001,-1.419639321562498,0.00046860218750100006,297.681975686626,4.898179977139635,16,"['Nb', 'S']",Triclinic,P1,False,data\tmc_data\cif\mp-1220657.cif
mp-32983,Nb3S5,Nb-S,0.0,-1.420107923749999,0.0,595.5523650085518,4.896630350356049,32,"['Nb', 'S']",Triclinic,P1,True,data\tmc_data\cif\mp-32983.cif
mp-1220654,Nb5S8,Nb-S,0.0,-1.40351744051282,0.010622922692307002,745.9976221513351,4.815034847738142,39,"['Nb', 'S']",Trigonal,P312,False,data\tmc_data\cif\mp-1220654.cif
mp-1220475,Nb7S8,Nb-S,0.0,-1.227522037333333,0.069394411162601,254.08216443862412,5.9267607365360195,15,"['Nb', 'S']",Trigonal,P3m1,False,data\tmc_data\cif\mp-1220475.cif
mp-2243,NbS,Nb-S,0.0,-1.13542374875,0.082792016554877,31.704952694592173,6.545345160925282,2,"['Nb', 'S']",Hexagonal,P-6m2,False,data\tmc_data\cif\mp-2243.cif
mp-647,NbS,Nb-S,0.0,-1.15248608125,0.065729684054877,63.22609184748805,6.564374062451515,4,"['Nb', 'S']",Hexagonal,P6_3/mmc,False,data\tmc_data\cif\mp-647.cif
